Node Name,Relevant TO,Sheets,Voltage (Derived),Site Name,latitude,longitude,Full Name
GLAG1S,SHET,B-2-2a,132,GLENAGNES,56.46207,-2.996252,GLENAGNES 132kV
GLAG1T,SHET,B-2-2a,132,GLENAGNES,56.46207,-2.996252,GLENAGNES 132kV
GLAP3-,SPT,B-2-1b,33,GLEN APP,55.022516,-5.006034,GLEN APP 33kV
GLDO1G,SHET,"B-2-1a, B-3-1a",132,GLENDOE SUBSTATION,57.14298308,-4.64493185,GLENDOE SUBSTATION 132kV
GLDO8-,SHET,B-3-1a,22,GLDO (Node Name used),57.14298308,-4.64493185,GLDO (Node Name used) 22kV
GLDY1-,SHET,B-2-2a,132,GLENDYE,,,GLENDYE 132kV
GLEN1Q,SHET,"B-2-1a, B-3-1a",132,GLENMORISTON,57.201815,-4.720236,GLENMORISTON 132kV
GLEN5-,SHET,B-3-1a,11,GLENMORISTON,57.201815,-4.720236,GLENMORISTON 11kV
GLFA1-,SHET,"B-2-1a, B-3-1a",132,GLENFARCLAS,57.415687,-3.315832,GLENFARCLAS 132kV
GLFA3-,SHET,B-3-1a,33,GLENFARCLAS,57.415687,-3.315832,GLENFARCLAS 33kV
GLGL1-,SPT,B-2-2b,132,GLENGLASS,55.337547,-4.017594,GLENGLASS 132kV
GLGL1B,SPT,B-2-2b,132,GLENGLASS,55.337547,-4.017594,GLENGLASS 132kV
GLGL1Q,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GLENGLASS,55.337547,-4.017594,GLENGLASS 132kV
GLGL1R,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GLENGLASS,55.337547,-4.017594,GLENGLASS 132kV
GLGL3-,SPT,"B-2-1b, B-2-2b, B-3-1b",33,GLENGLASS,55.337547,-4.017594,GLENGLASS 33kV
GLKO1-,SHET,B-2-1a,132,GLEN KYLLACHY,57.315202,-4.087834,GLEN KYLLACHY 132kV
GLLE1-,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GLENLEE,55.099586,-4.18552,GLENLEE 132kV
GLLE5-,SPT,B-3-1b,11,GLENLEE,55.099586,-4.18552,GLENLEE 11kV
GLLU1Q,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GLENLUCE,54.881992,-4.807106,GLENLUCE 132kV
GLLU1R,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GLENLUCE,54.881992,-4.807106,GLENLUCE 132kV
GLLU3-,SPT,B-3-1b,33,GLENLUCE,54.881992,-4.807106,GLENLUCE 33kV
GLMU3-,SPT,B-2-2b,33,GLENMUCKLOCH,,,GLENMUCKLOCH 33kV
GLNI1-,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GLENNISTON,56.111388,-3.272049,GLENNISTON 132kV
GLNI3-,SPT,B-3-1b,33,GLENNISTON,56.111388,-3.272049,GLENNISTON 33kV
GLNU1-,SHET,"B-2-2a, B-3-2a",132,GLEN ULLINISH WINDFARM,,,GLEN ULLINISH WINDFARM 132kV
GLNU3-,SHET,B-3-2a,33,GLEN ULLINISH WINDFARM,,,GLEN ULLINISH WINDFARM 33kV
GLRB2-,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a, B-2-2b",275,GLENROTHES BOUNDARY,56.206833,-3.200275,GLENROTHES BOUNDARY 275kV
GLRB2-,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a, B-2-2b",275,GLENROTHES BOUNDARY,56.206833,-3.200275,GLENROTHES BOUNDARY 275kV
GLRB4-,"SHET, SPT","B-2-2a, B-2-2b",400,GLENROTHES BOUNDARY,56.206833,-3.200275,GLENROTHES BOUNDARY 400kV
GLRB4-,"SHET, SPT","B-2-2a, B-2-2b",400,GLENROTHES BOUNDARY,56.206833,-3.200275,GLENROTHES BOUNDARY 400kV
GLRO2-,SPT,"B-2-1b, B-2-2b, B-3-1b",275,GLENROTHES,56.206833,-3.200275,GLENROTHES 275kV
GLRO3A,SPT,B-3-1b,33,GLENROTHES,56.206833,-3.200275,GLENROTHES 33kV
GLRO3B,SPT,B-3-1b,33,GLENROTHES,56.206833,-3.200275,GLENROTHES 33kV
GLUE1-,SHET,B-2-2a,132,GLEN ULLINISH EXTENSION,,,GLEN ULLINISH EXTENSION 132kV
