Site Name,Site Code,latitude,longitude,Verified?
HUER - HUNTERSTON Substation,HUER,55.719882,-4.892719,Yes
HUMR - Humber Refinery Substation,HUMR,53.6384121,-0.2384869,Yes
HUMW - HUMBER GATEWAY OFFSHORE Substation,HUMW,53.658526,0.252814,Yes
HUNE - HUNTERSTON EAST Substation,HUNE,55.719925,-4.888264,Yes
HUNN - HUNTERSTON NORTH Substation,HUNN,55.721005,-4.886425,Yes
HURS - Hurst Substation,HURS,51.4326858,0.1546016,Yes
HUTT - Hutton Substation,HUTT,54.2975133,-2.6709277,Yes
IMPP - Imperial Park Substation,IMPP,51.5479116,-3.0309116,Yes
INCE - Ince Substation,INCE,53.2777592,-2.8111899,Yes
INDQ - Indian Queens Substation,INDQ,50.3949742,-4.8989176,Yes
INGA - INVERGARRY Substation,INGA,57.071976,-4.77368,Yes
INKE - INVERKEITHING Substation,INKE,56.042404,-3.390253,Yes
INVE - INVERARAY Substation,INVE,56.262371,-5.041287,Yes
INVR - INVERARNAN Substation,INVR,56.326075,-4.724459,Yes
IROA - Iron Acton Substation,IROA,51.5698042,-2.4807198,Yes
IRON - Ironbridge Substation,IRON,52.6319814,-2.514286,Yes
Islington,ISLI,51.5494141,-0.1146162,Yes
IVER - Iver Substation,IVER,51.5441265,-0.4988656,Yes
JOHN - JOHNSTONE Substation,JOHN,55.845725,-4.506404,Yes
JORD - Jordanthorpe Substation,JORD,53.3294925,-1.4580429,Yes
JUNCTION V,JUNV,54.9410775,-2.9615709,Yes
KAIM - KAIMES Substation,KAIM,55.892623,-3.165958,Yes
KEAD - Keadby Substation,KEAD,53.5980619,-0.756208,Yes
KEAR - Kearsley Substation,KEAR,53.5373491,-2.3584675,Yes
KEIT - KEITH Substation,KEIT,57.540349,-2.93959,Yes
KEMS - Kemsley Substation,KEMS,51.368296,0.7414657,Yes
KENG - Kensal Green Substation,KENG,51.5262136,-0.2240412,Yes
KEOO - KENDOON Substation,KEOO,55.163659,-4.191448,Yes
KERG - KERGORD Substation,KERG,60.295037,-1.272665,Yes
KIBY - Kirkby Substation,KIBY,53.4692134,-2.8477432,Yes
KIER - KILLERMONT Substation,KIER,55.903561,-4.310545,Yes
KIIN - KILLIN Substation,KIIN,56.47743,-4.330265,Yes
KILB - KILBOWIE Substation,KILB,55.918631,-4.410667,Yes
KILG - KILGALLIOCH Substation,KILG,55.05012,-4.764746,Yes
KILL - Killingholme Substation,KILL,53.6557283,-0.2572151,Yes
KILS - KILMARNOCK SOUTH Substation,KILS,55.575961,-4.46573,Yes
KILT - KILMARNOCK TOWN Substation,KILT,55.598214,-4.495533,Yes
KILW - KILWINNING Substation,KILW,55.664774,-4.68125,Yes
KINC - KINCARDINE Substation,KINC,56.074851,-3.733304,Yes
KINO - Kingsnorth Substation,KINO,51.4185692,0.5983932,Yes
KINT - KINTORE Substation,KINT,57.219714,-2.381126,Yes
KIRK - Kirkstall Substation,KIRK,53.8062487,-1.598063,Yes
KITW - Kitwell Substation,KITW,52.4307804,-2.0138725,Yes
KLYN - Kings Lynn Substation,KLYN,52.726717,0.378784,Yes
KNAR - Knaresborough Substation,KNAR,54.0312689,-1.4878477,Yes
KNOC - KNOCKNAGAEL Substation,KNOC,57.423289,-4.24606,Yes
LACK - Lackenby Substation,LACK,54.5669706,-1.1317392,Yes
LAGA - Langage Substation,LAGA,50.3890502,-4.0127325,Yes
LAIR - LAIRG Substation,LAIR,58.030448,-4.393637,Yes
LALE - Laleham Substation,LALE,51.4237679,-0.4706191,Yes
LAMB - LAMBHILL Substation,LAMB,55.903759,-4.25548,Yes
LAND - Landulph Substation,LAND,50.4450473,-4.2426418,Yes
LEGA - Legacy Substation,LEGA,53.028528,-3.0538035,Yes
LEIB - Leighton Buzzard Substation,LEIB,51.9045457,-0.677664,Yes
LEIS - Leiston Substation,LEIS,52.2080432,1.611175,Yes
LEMR - Lea Marston Substation,LEMR,52.5286693,-1.708762,Yes
LEVE - LEVEN Substation,LEVE,56.199227,-3.039718,Yes
LEWE - Lewes Substation,LEWE,50.8871,0.041464,Yes
LHOR - Little Horsted Substation,LHOR,50.941716,0.120706,Yes
LING - LIVINGSTON Substation,LING,55.88282,-3.49364,Yes
LINM - LINNMILL Substation,LINM,55.672033,-3.827138,Yes
LISD - Lister Drive Substation,LISD,53.4186288,-2.9241619,Yes
LITB - Little Barford Substation,LITB,52.204886,-0.26912,Yes
LITT - Littlebrook Substation 132,LITT,51.4646736,0.2391929,Yes
LOAN - LONGANNET Substation,LOAN,56.050522,-3.680569,Yes
LOCB - LOCH BUIDHE Substation,LOCB,57.950841,-4.277245,Yes
LOCH - LOCHAY Substation,LOCH,56.484778,-4.363949,Yes
LODR - Lodge Road (St Johns Wood),LODR,51.5275172,-0.1695604,Yes
Unknown - from ETYS,LOFI,51.398638,0.298755,Yes
LOFR - Lower Frankton Substation,LOFR,52.880128,-2.939637,Yes
LOFT - Lower Frankton Tee Substation,LOFT,52.880128,-2.939637,Yes
LORG - LORG Substation,LORG,55.234544,-4.788968,Yes
LOVE - Lovedean Substation,LOVE,50.9173848,-1.0400291,Yes
LUIC - LUICHART Substation,LUIC,57.575764,-4.689943,Yes
LYND - LYNDHURST Substation,LYND,51.431961,0.156466,Yes
MABL - Mablethorpe Substation,MABL,53.326449,0.264754,Yes
MACC - Macclesfield Substation,MACC,53.2687179,-2.1214552,Yes
MACD - MACDUFF Substation,MACD,57.663905,-2.499225,Yes
MAGA - Margam Substation,MAGA,51.5629203,-3.7539296,Yes
MAHI - MARK HILL Substation,MAHI,55.137885,-4.768147,Yes
MANN - Mannington Substation,MANN,50.8468865,-1.8960426,Yes
MARH - Market Harborough,MARH,52.464684,-0.885458,Yes
MARV - Marston Vale Substation,MARV,52.056838,-0.52585,Yes
MAWO - Marchwood Substation,MAWO,50.8983521,-1.4402315,Yes
MAYB - MAYBOLE Substation,MAYB,55.342263,-4.686195,Yes
MEAD - MEADOWHEAD Substation,MEAD,55.584282,-4.638769,Yes
Unknown - from ETYS,MEDB,55.02872,-1.792455,Yes
Unknown - from ETYS,MEDW,51.440122,0.690349,Yes
MELG - MELGARVE SUBSTATION Substation,MELG,57.028053,-4.472296,Yes
MELK - Melksham Substation,MELK,51.3945276,-2.1507655,Yes
MONK FRYSTON NEW,MFSN,53.7563338,-1.2668429,Yes
MIDL - Middleton Substation,MIDL,54.025296,-2.881284,Yes
MILC - MILTON OF CRAIGIE Substation,MILC,56.474615,-2.924592,Yes
MILH - Mill Hill Substation,MILH,51.6178861,-0.2085863,Yes
Unknown - from ETYS,MILL,52.037163,-0.525849,Yes
MILP - Milton Park Substation,MILP,51.619556,-1.296306,Yes
MINN - MINNYGAP Substation,MINN,55.256045,-3.525105,Yes
MITY - Minety Substation,MITY,51.6077549,-2.0025718,Yes
MOFF - MOFFAT Substation,MOFF,55.302211,-3.426747,Yes
MONF - Monk Fryston Substation,MONF,53.7563338,-1.2668429,Yes
MORF - MORAY EAST ONSHORE Substation,MORF,57.491239,-2.283036,Yes
MOSM - MOSSMORRAN Substation,MOSM,56.106235,-3.294144,Yes
MYBS - MYBSTER Substation,MYBS,58.447422,-3.425118,Yes
NAIR - NAIRN Substation,NAIR,57.576732,-3.847597,Yes
NEAR - NEWARTHILL Substation,NEAR,55.824793,-3.946674,Yes
NECH - Nechells Substation,NECH,52.506843,-1.8523677,Yes
NECT - Necton Substation,NECT,52.669754,0.799292,Yes
NECU - NEW CUMNOCK Substation,NECU,55.34573,-4.334556,Yes
NEDE - NEW DEER Substation,NEDE,57.492003,-2.284467,Yes
NEEP - Neepsend Substation,NEEP,53.4066924,-1.4885035,Yes
NEIL - NEILSTON Substation,NEIL,55.808314,-4.478163,Yes
NETS - NEWTON STEWART Substation,NETS,54.95289,-4.499196,Yes
NEWX - New Cross Substation,NEWX,51.4846402,-0.0595415,Yes
NFLE - Northfleet East Substation,NFLE,51.4287857,0.330308,Yes
NHYD - North Hyde Substation,NHYD,51.4999248,-0.4113956,Yes
NINF - Ninfield Substation,NINF,50.8814915,0.4477538,Yes
NORL - Norton Lees Substation,NORL,53.3485129,-1.4715193,Yes
NORM - Norwich Substation,NORM,52.5740796,1.2719315,Yes
NORT - Norton Substation,NORT,54.5928419,-1.3672756,Yes
NORWICH,NORW,52.5740796,1.2719315,Yes
NOTR - Norwich Trowse Substation,NOTR,52.6077544,1.3079125,Yes
NURS - Nursling Substation,NURS,50.9425158,-1.4866557,Yes
OBST - Osbaldwick Tee Substation,OBST,53.956585,-1.022551,Yes
OCKH - Ocker Hill Substation,OCKH,52.5419228,-2.0296509,Yes
OFFE - Offerton Substation,OFFE,54.880798,-1.4579908,Yes
OLDB - Oldbury Substation,OLDB,52.4994363,-2.0230398,Yes
OLDS - Oldbury On Severn Substation,OLDS,51.6472606,-2.5719154,Yes
ORRI - ORRIN Substation,ORRI,51.383012,-2.169422,Yes
